"editor_version,year,comment"
"Vermeer Frontpage 1.0,1995"
"Microsoft Frontpage 1.1,1996"
"Microsoft FrontPage 2.0,1996,version 2"
"Microsoft FrontPage Express 2.0,1997,free simple web page editor came with Internet Explorer 4 and 5, and                                                 could be found online from numerous shareware Web site"
"Microsoft FrontPage for Macintosh 1.0,1997"
"Microsoft FrontPage 98,1997"
"Microsoft FrontPage 4.0,1999, (version 4): Also included in Office 2000 Premium and Developer editions"
"Microsoft FrontPage 10,2001,(version 10): Included in Office XP Professional with FrontPage (volume license only), Office XP Professional Special Edition and Office XP Developer edition. Starting with this version, the version number jumps to 10.0 to tally Microsoft Office versions.
"
"Microsoft Office FrontPage 2003,2003,(version 11): Not included in any of the Office 2003 editions, sold separately. It was included with Windows Small Business Server 2003 Premium Edition.
"
"GoNet GoLive,1996"
"GoNet GoLive Pro,1996"
"GoLive Cyberstudio 1.0,1997,Originally developed by GoLive Systems before the Adobe acquisition"
"GoLive Cyberstudio 2.0,1997"
"GoLive Cyberstudio 3.0,1997"
"Adobe GoLive 4.0,1999,The first version rebranded under Adobe Systems."
"Adobe GoLive 5.0,1999,Introduced improved code control and 360Code for editing in both layout and source views."
"Adobe GoLive 6.0,2002,Provided integrated QuickTime editing and supported database-driven content."
"Adobe GoLive CS,2003,(version 7.0) Included in the first Adobe Creative Suite, offering enhanced PDF integration and CSS editing."
"Adobe GoLive CS2,2005,(version 8.0) Part of the Creative Suite 2 package."
"Adobe GoLive 9,2007,The final version, released as a standalone product after CS3 was launched, which included a refreshed interface."
"Macromedia Flash 1.0,1996,In December 1996, Macromedia acquired FutureWave Software, which was developing the FutureSplash animator. The program was used to create vector animations that could be played with the FutureSplash Viewer plugin in the then popular Netscape Navigator and Internet Explorer. In December 18th 1996, Macromedia released an enhanced version of this program called Macromedia Flash 1.0."
"Macromedia Flash 2.0,1997,Macromedia Flash 2.0 included new features such as improved element library, synchronize sound and animation, convert any image to fully editable vector object, import complex FreeHand graphics, and more."
"Macromedia Flash 3.0,1998,Macromedia Flash 3.0 included new features such as vector & bitmap transparency, shape morphing, sprite animation, standalone projectors, bandwidth profiling, and more. The program was released with Flash Player 3."
"Macromedia Flash 4.0,1999,Macromedia Flash 4.0 included new features such as MP3 streaming audio, new inspector interface, compelling field entry forms for data gathering and e-commerce applications, and more. The program was released with Flash Player 4."
"Macromedia Flash 5.0,2000,Macromedia Flash 5.0 included new features such as ActionScript 1.0 object-oriented programming language based on a standardized JavaScript version called ECMAScript, support for XML data interchange, Smart Clips, HTML text formatting, Bézier pen tool or newly redesigned user interface. The program was released with Flash Player 5."
"Macromedia Flash MX,2002,Macromedia Flash MX included new features such as new video capabilities, enhanced color management, Timeline folders, advanced scripting and debugging tools, Flash components to rapidly deploy rich Web applications. The program was released with Flash Player 6."
"Macromedia Flash MX 2004,2003,Macromedia Flash MX 2004 included new features such as programming language ActionScript 2.0, timeline effects, behaviors, accessibility support in the authoring environment, updated templates, high-fidelity import, video import wizard, small font size rendering, and more. The program was released with Flash Player 7."
"Macromedia Dreamweaver 1.0,1997,Macromedia released the first version of the popular Dreamweaver 1.0 website editor. The editor allowed users to switch between text and WYSIWYG (What You See Is What You Get) mode. The first version of the Dreamweaver editor was only available for Mac OS, and in March 1998, a version for Windows was released."
"Macromedia Dreamweaver 1.2,1998,In March 1998, Macromedia released the popular Dreamweaver 1.2 website editor for Windows. The editor allowed users to switch between text and WYSIWYG mode."
"Macromedia Dreamweaver 2.0,1998"
"Macromedia Dreamweaver 3.0,1999"
"Macromedia Dreamweaver 4.0,2000"
"Macromedia Dreamweaver MX,2002"
"Macromedia Dreamweaver MX 2004,2002"
"Macromedia Dreamweaver 8.0,2005"
"Adobe CS3,2007,Replaced Adobe GoLive in the Creative Suite series"
"Adobe CS4,2008,DOM visualization tool, Live View and CSS Designer upgrades"
"Adobe CS5,2010"
"Adobe CS5.5,2011"
"Adobe CS6,2012"
"Adobe CC14,2014,Creative Cloud"
"Adobe C15,2015,Responsive design capabilities with visual media query bars, direct integration with the Bootstrap framework, ability to preview and inspect content on mobile devices and improvements to the code editor"
"NetObjects Fusion 1,1996,Windows/Mac"
"NetObjects Fusion 2,1997,Windows/Mac"
"NetObjects Fusion 3,1998,Windows/Mac"
"NetObjects Fusion 4,1999,Windows"
"NetObjects Fusion 5,2000,Windows Review Archived 2006-12-06 at the Wayback Machine"
"NetObjects Fusion MX,2001,Windows Review Archived 2009-02-21 at the Wayback Machine"
"NetObjects Fusion 7,2002,Windows"
"NetObjects Fusion 7.5,2003,Windows"
"NetObjects Fusion 8,2004,Windows"
"NetObjects Fusion 9,2005,Windows"
"NetObjects Fusion 10,2006,Windows"
"NetObjects Fusion 11,2008,Windows discontinued in 2009"
"NetObjects Fusion XII,2010,Windows"
"NetObjects Fusion 2013,2013,Windows"
"NetObjects Fusion 2015,2015,Windows"
"EditPlus 2.00,2000"
"EditPlus 2.01,2000"
"EditPlus 2.10,2000"
"EditPlus 2.10a,2001"
"EditPlus 2.10c,2001"
"EditPlus 2.11,2002"
"EditPlus 2.11 (SR-1),2002"
"EditPlus 2.11 (SR-2),2003"
"EditPlus 2.12,2004"
"EditPlus 2.20,2005"
"EditPlus 2.21,2005"
"EditPlus 2.30,2006"
"EditPlus 2.31,2007"
"EditPlus 3.00,2008"
"EditPlus 3.01,2008"
"OpenOffice.org 1.0,2002"
"OpenOffice.org 1.1,2004"
"OpenOffice.org 2.0,2006"
"OpenOffice.org 2.1,2006"
"OpenOffice.org 2.2,2007"
"OpenOffice.org 2.3,2007"
"OpenOffice.org 2.4,2007"
"OpenOffice.org 3.0,2008"
"OpenOffice.org 3.1,2009"
"OpenOffice.org 3.2,2010"
"OpenOffice.org 3.3b,2010"
"StarOffice/1.0,1985"
"StarOffice/2.0,1994"
"StarOffice/3.0,1995"
"StarOffice/3.1,1996"
"StarOffice/4.0,1997"
"StarOffice/5.0,1998"
"StarOffice/5.1,1999"
"StarOffice/5.2,2000"
"StarOffice/6.0,2002"
"StarOffice/7.0,2004"
"StarOffice/8.0,2005"
"StarOffice/9.0,2008"
"Claris Home Page 1.0,1996"
"Claris Home Page 2.0,1997"
"Claris Home Page 3.0,1998,Home Page 3.0 is designed to provide users who know nothing of HTML, the language of the Web, a way to design and manage their own pages. At the same time, the tool supports more sophisticated Web design features like tables and multiple frames, Java and JavaScript, and class libraries that allow drag and drop editing."
"Netscape Navigator Gold 2.0,1996"
"Netscape Navigator Gold 3.0,1996"
"Netscape Communicator 4.0,1997"
"Netscape Composer 7.0,2002"
"Netscape Composer 7.2,2004"
"Nvu 0.1,2004"
"Nvu 0.2,2004"
"Nvu 0.3,2004"
"Nvu 0.4,2004"
"Nvu 0.6,2004"
"Nvu 0.7,2005"
"Nvu 0.8,2005"
"Nvu 0.81,2005"
"Nvu 0.90RC1,2005"
"Nvu 0.90,2005"
"Nvu 1.0PR,2005"
"Nvu 1.0,2005"
"KompoZer 0.7.10,2007"
"KompoZer 0.8,2010"
"SeaMonkey 1.0, 2006,includes the Gecko-based HTML editor that KompoZer derived from"
"SeaMonkey 2.0,2009"
"Bluegriffon 1.0,2011,successor of Nvu"
